ds,y,error_1
2024-02-27 19:38:28,0.006929059506086396,0.00017335313179234178
2024-02-27 19:39:59,0.006929059506086396,0.00017335313179234178
2024-02-27 21:40:20,0.006929059506086396,0.00017335313179234178
2024-02-27 23:40:40,0.006929059506086396,0.00017335313179234178
2024-02-28 01:41:00,0.006929059506086396,0.00017335313179234178
2024-02-28 03:41:21,0.006929059506086396,0.00017335313179234178
2024-02-28 05:41:40,0.006929059506086396,0.00017335313179234178
2024-02-28 07:42:00,0.006929059506086396,0.00017335313179234178
2024-02-28 09:42:19,0.006929059506086396,0.00017335313179234178
2024-02-28 11:42:43,0.006929059506086396,0.0001779384034996913
2024-02-28 13:43:03,0.006929059506086396,0.00018235589496015388
2024-02-28 15:43:25,0.006929059506086396,0.00018235589496015388
2024-02-28 17:43:47,0.006929059506086396,0.00018235589496015388
2024-02-28 19:44:09,0.006929059506086396,0.00018235589496015388
2024-02-28 21:44:31,0.006929059506086396,0.00018235589496015388
2024-02-28 23:44:51,0.006929059506086396,0.00018235589496015388
2024-02-29 01:45:11,0.006929059506086396,0.00018235589496015388
2024-02-29 03:45:34,0.006929059506086396,0.00018235589496015388
2024-02-29 05:45:56,0.006929059506086396,0.00018235589496015388
2024-02-29 07:46:18,0.006929059506086396,0.00018235589496015388
2024-02-29 09:46:41,0.006929059506086396,0.00018235589496015388
2024-02-29 11:47:04,0.006929059506086396,0.00018235589496015388
2024-02-29 13:47:27,0.006929059506086396,0.00018235589496015388
2024-02-29 15:47:54,0.006929059506086396,0.00018235589496015388
2024-02-29 17:48:17,0.00732231863589429,0.00018235589496015388
2024-02-29 19:48:40,0.00732231863589429,0.00018235589496015388
2024-02-29 21:49:02,0.00732231863589429,0.00018235589496015388
2024-02-29 23:49:26,0.00732231863589429,0.00018235589496015388
2024-03-01 01:49:46,0.00732231863589429,0.00018235589496015388
2024-03-01 03:50:10,0.00732231863589429,0.00018235589496015388
2024-03-01 05:50:35,0.00732231863589429,0.00018235589496015388
2024-03-01 07:50:56,0.00732231863589429,0.00018235589496015388
