date,gate_error_one_qubit,gate_error_two_qubit,n_qubits,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error
2024-02-27 19:38:28,7.251433432962445e-05,0.0088759432082854,5.0,0.0,0.0,2.0,15.0,0.01684610799971647,0.006340314937496252
2024-02-27 19:39:59,7.251433432962445e-05,0.0088759432082854,5.0,1.0,3.0,0.0,14.0,0.014516214954727942,0.0044835532968482
2024-02-27 21:40:20,7.251433432962445e-05,0.0088759432082854,15.0,4.0,2.0,9.0,37.0,0.0487694197438873,0.5874577191051509
2024-02-27 23:40:40,7.251433432962445e-05,0.0088759432082854,10.0,5.0,1.0,0.0,13.0,0.03128586355317532,0.04594287472404612
2024-02-28 01:41:00,7.251433432962445e-05,0.0088759432082854,5.0,3.0,5.0,2.0,21.0,0.03739657579538225,0.009341166853313751
2024-02-28 03:41:21,7.251433432962445e-05,0.0088759432082854,10.0,7.0,4.0,6.0,51.0,0.15638032227239887,0.2684406974248196
2024-02-28 05:41:40,7.251433432962445e-05,0.0088759432082854,5.0,4.0,4.0,5.0,19.0,0.02922100540178496,0.007121754495001664
2024-02-28 07:42:00,7.251433432962445e-05,0.0088759432082854,10.0,1.0,0.0,4.0,11.0,0.08561136898619841,0.07345458742507804
2024-02-28 09:42:19,7.251433432962445e-05,0.0088759432082854,5.0,5.0,3.0,2.0,22.0,0.029715858232117115,0.007215311053251719
2024-02-28 11:42:43,8.848029775437726e-05,0.0088759432082854,10.0,4.0,3.0,6.0,50.0,0.16326087334629363,0.2769104003509192
2024-02-28 13:43:03,8.848029775437726e-05,0.0088759432082854,10.0,1.0,2.0,4.0,11.0,0.08374114590829146,0.06522866679718742
2024-02-28 15:43:25,8.848029775437726e-05,0.0088759432082854,5.0,0.0,0.0,1.0,8.0,0.017806270534786145,0.008481169774936254
2024-02-28 17:43:47,8.848029775437726e-05,0.0088759432082854,15.0,4.0,8.0,6.0,40.0,0.07852276500829387,0.4247605478079912
2024-02-28 19:44:09,8.848029775437726e-05,0.0088759432082854,10.0,4.0,2.0,4.0,32.0,0.15722195011756301,0.15224905720853835
2024-02-28 21:44:31,8.848029775437726e-05,0.0088759432082854,10.0,2.0,3.0,2.0,12.0,0.05725735109548305,0.06062621362003614
2024-02-28 23:44:51,8.848029775437726e-05,0.0088759432082854,15.0,5.0,2.0,3.0,39.0,0.07874476031335881,0.4527062331689789
2024-02-29 01:45:11,8.848029775437726e-05,0.0088759432082854,5.0,2.0,0.0,0.0,6.0,0.011141073675441015,0.007595396147950984
2024-02-29 03:45:34,8.848029775437726e-05,0.0088759432082854,10.0,6.0,5.0,7.0,46.0,0.0930934028453429,0.29048826533920086
2024-02-29 05:45:56,8.848029775437726e-05,0.0088759432082854,10.0,3.0,5.0,3.0,28.0,0.17477026927636719,0.17276520139981155
2024-02-29 07:46:18,8.848029775437726e-05,0.0088759432082854,10.0,6.0,3.0,5.0,50.0,0.13455007343223713,0.25169383756052277
2024-02-29 09:46:41,8.848029775437726e-05,0.0088759432082854,10.0,6.0,10.0,4.0,51.0,0.12307534202332497,0.2923322338907649
2024-02-29 11:47:04,8.848029775437726e-05,0.0088759432082854,10.0,7.0,2.0,4.0,24.0,0.1531436337701623,0.16144793359162568
2024-02-29 13:47:27,8.848029775437726e-05,0.0088759432082854,5.0,0.0,2.0,0.0,6.0,0.002673142078328349,0.008087291732253362
2024-02-29 15:47:54,8.848029775437726e-05,0.0088759432082854,5.0,1.0,2.0,1.0,4.0,0.008389457119432363,0.0023331663677089434
2024-02-29 17:48:17,8.848029775437726e-05,0.0037745505899247,10.0,1.0,4.0,1.0,12.0,0.0732001975354388,0.07352095595068216
2024-02-29 19:48:40,8.848029775437726e-05,0.0037745505899247,10.0,2.0,1.0,1.0,16.0,0.05696530065061347,0.06430834698114964
2024-02-29 21:49:02,8.848029775437726e-05,0.0037745505899247,10.0,3.0,1.0,1.0,15.0,0.0788052441962053,0.06059560015500301
2024-02-29 23:49:26,8.848029775437726e-05,0.0037745505899247,10.0,3.0,3.0,5.0,28.0,0.15878943700965534,0.24062375628144417
2024-03-01 01:49:46,8.848029775437726e-05,0.0037745505899247,5.0,3.0,4.0,2.0,21.0,0.02331022732371434,0.005641283383119768
2024-03-01 03:50:10,8.848029775437726e-05,0.0037745505899247,15.0,8.0,11.0,9.0,69.0,0.0,0.6661144405181016
2024-03-01 05:50:35,8.848029775437726e-05,0.0037745505899247,5.0,1.0,2.0,0.0,6.0,0.008695626152229878,0.004643346889163765
2024-03-01 07:50:56,8.848029775437726e-05,0.0037745505899247,15.0,3.0,0.0,4.0,23.0,0.05532183193554167,0.3771756096166877
2024-03-01 09:51:20,8.848029775437726e-05,0.0037745505899247,5.0,0.0,4.0,0.0,14.0,0.041052567940105755,0.01348501897921767
2024-03-01 11:51:40,8.848029775437726e-05,0.0037745505899247,15.0,8.0,11.0,7.0,69.0,0.0,0.6758185010459404
2024-03-01 13:52:00,8.848029775437726e-05,0.0037745505899247,5.0,2.0,3.0,2.0,22.0,0.030067535968071272,0.007035126647486248
2024-03-01 15:52:25,8.848029775437726e-05,0.0037745505899247,15.0,8.0,11.0,9.0,55.0,0.0,0.6654212933375421
2024-03-01 17:52:48,8.848029775437726e-05,0.0037745505899247,15.0,5.0,2.0,5.0,46.0,0.022241505882201026,0.6198848380737514
2024-03-01 19:53:13,8.848029775437726e-05,0.0037745505899247,10.0,5.0,2.0,4.0,29.0,0.07266173704746033,0.18801852860543117
