T1,T2,probMeas0Prep1,probMeas1Prep0,readout_qubit_error,n_qubits,depth,probability,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error,time
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,5,10,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,5,0.75,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.25,,,,,,,
216.54324622006453,112.93163145204409,0.015000000000000013,0.01639999999999997,0.015800000000000036,10,10,0.75,,,,,,,
