T1,T2,probMeas0Prep1,probMeas1Prep0,readout_qubit_error,n_qubits,depth,probability,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error,time
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,5,0.25,2.0,1.0,2.0,7.0,0.025139868874510668,0.007969432772499877,104.26575951576233
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,10,0.25,3.0,1.0,1.0,14.0,0.033560663549632996,0.008329510581083693,100.27573909759522
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,15,0.25,2.0,2.0,2.0,23.0,0.03348068957443067,0.008104518597197397,123.20242509841918
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,5,0.25,1.0,2.0,1.0,13.0,0.04521431561893549,0.05560957122759088,158.78317589759826
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,10,0.25,5.0,5.0,6.0,29.0,0.15567047391980696,0.21812576961525468,337.4831645488739
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,15,0.25,7.0,4.0,9.0,45.0,0.15684842570622842,0.2898969483507988,598.2207637786865
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,5,0.25,1.0,1.0,1.0,19.0,0.09640903440870335,0.18450082524706585,585.3888883590698
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,10,0.25,8.0,10.0,2.0,37.0,0.05309335195986083,0.4723653359582512,797.0072253704071
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,15,0.25,5.0,6.0,4.0,68.0,0.0017342230547376988,0.6566542410885386,841.5958892822266
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,5,0.5,3.0,0.0,2.0,6.0,0.02155353739273807,0.00789720618056259,333.7989740371704
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,10,0.5,6.0,6.0,7.0,10.0,0.026554433144201074,0.009337437755203331,245.57202816009521
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,15,0.5,9.0,4.0,7.0,16.0,0.03115149260590471,0.007688414397935742,220.22619638442993
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,5,0.5,0.0,3.0,5.0,11.0,0.08282403965903296,0.0987540654601651,170.9849507331848
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,10,0.5,12.0,10.0,4.0,26.0,0.13437803481676602,0.17532466594173818,142.34270157814026
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,15,0.5,12.0,10.0,9.0,37.0,0.14294801363633575,0.2850850485992137,179.42838125228883
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,5,0.5,3.0,7.0,2.0,16.0,0.08408421949900961,0.17330089834069146,611.3798135757446
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,10,0.5,13.0,14.0,4.0,24.0,0.08269007842583417,0.32320378153008167,1300.3536106586457
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,15,0.5,14.0,14.0,19.0,55.0,0.0009704060527839234,0.6707048467101389,2002.8062216281892
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,5,0.75,3.0,1.0,2.0,3.0,0.009741716479245436,0.00591060956406881,83.3991997718811
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,10,0.75,3.0,5.0,8.0,8.0,0.036955260321599036,0.009166563151742163,67.33628144264222
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,5,15,0.75,13.0,9.0,14.0,11.0,0.03423469624752782,0.008333586203006376,82.30824966430664
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,5,0.75,9.0,8.0,4.0,6.0,0.08373745457972614,0.06300915802900722,119.72269034385681
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,10,0.75,16.0,19.0,16.0,11.0,0.14344412502105128,0.12157412540876633,125.65049681663513
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,10,15,0.75,23.0,20.0,26.0,24.0,0.15757746600066697,0.2544698493727916,175.9100713253021
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,5,0.75,10.0,6.0,4.0,13.0,0.10036100099007776,0.2204136410541208,359.17985849380494
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,10,0.75,16.0,24.0,25.0,25.0,0.08268111914770454,0.4646040142234031,173.89183354377747
394.6161598720938,218.1500942622232,0.0036,0.0071999999999999,0.0054,15,15,0.75,25.0,37.0,29.0,41.0,0.0024717732428845263,0.6358980174193289,87.7701711177826
