T1,T2,prob0,prob1,error,ds
283.0838707020996,114.51416033554771,0.023068185186386078,0.0182988367319107,0.02374162997007369,2024-06-06 10:03:10
281.3203492045015,111.54728377053158,0.02393633227348325,0.019769758367538446,0.023428505563735956,2024-06-06 12:03:10
281.2369754647213,110.11737806316742,0.024128860807418797,0.019638145947456352,0.0244093582868576,2024-06-06 14:03:10
280.3742145488061,108.89829935437596,0.024580639553070043,0.020535476469993583,0.024531828272342678,2024-06-06 16:03:10
279.9654506513207,106.9703100220528,0.02457444233894346,0.020430444383621207,0.024888948309421535,2024-06-06 18:03:10
279.6552994423642,106.31530863864705,0.024855424499511697,0.020886989974975578,0.024850596261024472,2024-06-06 20:03:10
279.4531118766135,105.57322390162197,0.024932261562347388,0.020905742192268362,0.025058410972356792,2024-06-06 22:03:10
278.83196374029194,105.02204548101803,0.02509917092323301,0.021012816333770744,0.02503609982132911,2024-06-07 00:03:10
278.95981458001484,104.8248959737007,0.025237279367446876,0.021077784442901603,0.02510932241082191,2024-06-07 02:03:10
278.88414520679777,104.02660872107242,0.025324751091003395,0.021157630228996267,0.025058092916011805,2024-06-07 04:03:10
278.8419073385505,103.37950003587909,0.025466594648361186,0.021258470916748037,0.02524312145709991,2024-06-07 06:03:10
278.60036503549094,102.32444750676335,0.0251946069717407,0.0211753163576126,0.025088184940814967,2024-06-07 08:03:10
