T1,T2,prob0,prob1,error,ds
242.1045530335051,138.18616997757655,0.015166358768940002,0.01196838750839234,0.0119427244186402,2024-06-06 10:03:10
241.5788998461981,135.3407955774131,0.014540845048427604,0.011021500706672677,0.012454416871070925,2024-06-06 12:03:10
242.2327354273912,137.57093945559242,0.014677272319793724,0.011370587348937996,0.011770156915485924,2024-06-06 14:03:10
241.88982841208986,136.47469186289763,0.014486254036426565,0.010913413190841683,0.01205977534949786,2024-06-06 16:03:10
241.90483364477197,136.99548617041015,0.014480698835849784,0.011071765732765205,0.0117089290976525,2024-06-06 18:03:10
241.90368694540692,136.6739631044709,0.014350571930408498,0.010804955172538766,0.011817051419615811,2024-06-06 20:03:10
241.86876168524168,137.1879946267905,0.014318701064586659,0.010863036155700691,0.01166315735057003,2024-06-06 22:03:10
241.84143718235413,136.686077738123,0.01429349716901781,0.01076804811954499,0.011690254458785123,2024-06-07 00:03:10
241.59250269654865,136.85913570611658,0.014261947309970876,0.010772748351097115,0.011600381057709521,2024-06-07 02:03:10
241.81075006105831,136.11226631129279,0.014215887296199818,0.010710893177986153,0.011613265249878234,2024-06-07 04:03:10
241.5245323499518,135.78013722432755,0.014177640068531054,0.010683155846595772,0.011560112946480579,2024-06-07 06:03:10
241.74865267472293,135.21788034742,0.014075613415241259,0.010609768962860117,0.011477400319278307,2024-06-07 08:03:10
