ds,y,error_2
2024-06-06 10:03:10,0.00021551032841671258,0.009747255593538284
2024-06-06 12:03:10,0.00021488385391421616,0.009948940947651863
2024-06-06 14:03:10,0.00021528755314648151,0.00983309093862772
2024-06-06 16:03:10,0.00021611733245663345,0.00983514916151762
2024-06-06 18:03:10,0.00021760843810625374,0.009816719219088554
2024-06-06 20:03:10,0.0002181772142648697,0.009843509644269943
2024-06-06 22:03:10,0.0002182366733904928,0.009774569422006607
2024-06-07 00:03:10,0.00021869229385629296,0.009741614572703838
2024-06-07 02:03:10,0.00021911623480264097,0.009727929718792439
2024-06-07 04:03:10,0.00021945634216535836,0.009719839319586754
2024-06-07 06:03:10,0.00021907029440626502,0.009732428938150406
2024-06-07 08:03:10,0.00021960157027933747,0.009704649448394775
