ds,y,error_2
2024-06-06 10:03:10,0.0001964981493074447,0.009321538731455803
2024-06-06 12:03:10,0.00019618016085587442,0.009092273190617561
2024-06-06 14:03:10,0.00019690637418534607,0.009090227074921131
2024-06-06 16:03:10,0.00019878779130522162,0.009103001095354557
2024-06-06 18:03:10,0.0001988010189961642,0.00908250454813242
2024-06-06 20:03:10,0.000198688154341653,0.009074481204152107
2024-06-06 22:03:10,0.00019839910964947194,0.009072277694940567
2024-06-07 00:03:10,0.00019836629508063197,0.009054179303348064
2024-06-07 02:03:10,0.0001978710206458345,0.009093784727156162
2024-06-07 04:03:10,0.00019775783584918827,0.009073559194803238
2024-06-07 06:03:10,0.00019754664390347898,0.009091110900044441
2024-06-07 08:03:10,0.00019742385484278202,0.009080774150788784
