ds,y,error_2
2024-06-06 10:03:10,0.0002043082204181701,0.008335035294294357
2024-06-06 12:03:10,0.00020437731291167438,0.008329219184815884
2024-06-06 14:03:10,0.00020449025032576174,0.008288221433758736
2024-06-06 16:03:10,0.0002044272405328229,0.008275632746517658
2024-06-06 18:03:10,0.00020461578969843686,0.008280111476778984
2024-06-06 20:03:10,0.00020464794943109155,0.008265634067356586
2024-06-06 22:03:10,0.0002046893787337467,0.008267214521765709
2024-06-07 00:03:10,0.00020484247943386436,0.008251972496509552
2024-06-07 02:03:10,0.0002050606271950528,0.008253860287368298
2024-06-07 04:03:10,0.00020499651145655662,0.008256664499640465
2024-06-07 06:03:10,0.00020473763288464397,0.008262254297733307
2024-06-07 08:03:10,0.00020486889116000384,0.008246617391705513
