T1,T2,prob0,prob1,error,ds
212.0710161172305,117.1051863541671,0.01450895831584932,0.015762123966217026,0.016269908434152623,2024-06-06 10:03:10
215.83184279175305,116.70529790478362,0.014875148725509657,0.01619281163215636,0.01648466653823855,2024-06-06 12:03:10
215.24414953005962,116.66593833088623,0.014999839258193981,0.01636675360202788,0.016842324692010913,2024-06-06 14:03:10
215.78709411900041,116.3983556006429,0.015150884532928477,0.016602736496925345,0.016938035047054326,2024-06-06 16:03:10
215.8429108989678,115.86885338819904,0.015215383076667796,0.016637016201019275,0.017088701754808464,2024-06-06 18:03:10
215.9008633092178,115.64593570037427,0.015313856625556954,0.016768910074234,0.01715211011171345,2024-06-06 20:03:10
215.68908246193314,115.1793720715843,0.015373410248756417,0.01689044704437255,0.017271345472335855,2024-06-06 22:03:10
215.55924128484492,114.81285086742588,0.015435020375251778,0.016913413190841664,0.017332878226041834,2024-06-07 00:03:10
215.40134901054356,114.48599153216172,0.015471622014045722,0.016988125228881826,0.01741810001730923,2024-06-07 02:03:10
215.26529592050807,114.37734900619493,0.015578765964508063,0.01699222149848937,0.01745408965945248,2024-06-07 04:03:10
215.2139827152005,114.13473239882673,0.015640096712112434,0.017045283818244925,0.017538921618461652,2024-06-07 06:03:10
214.9205683545081,114.15266537987573,0.01564387991428376,0.0170745034456253,0.01754714295268063,2024-06-07 08:03:10
