T1,T2,probMeas0Prep1,probMeas1Prep0,readout_qubit_error,n_qubits,depth,probability,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error,time
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.25,0.0,0.0,1.0,6.0,0.012706297421839551,0.0053410220985158074,60.502361917495726
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.25,1.0,2.0,4.0,14.0,0.02468061294063672,0.007060846609764679,61.67403745651245
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.25,0.0,3.0,4.0,21.0,0.030509948185296554,0.007503344429698652,70.14211983680725
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.25,1.0,1.0,1.0,12.0,0.0397976595235874,0.035717544867806164,125.67985434532166
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.25,4.0,3.0,3.0,33.0,0.121240307749049,0.15081345816193922,196.40878405570984
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.25,5.0,5.0,4.0,47.0,0.14058852992705295,0.21327559544467772,256.2179357051849
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.25,1.0,2.0,3.0,20.0,0.10607812346868298,0.16413834731656007,1078.7844443798065
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.25,5.0,4.0,2.0,41.0,0.10758912713221076,0.3508892506663931,2619.743128156662
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.25,9.0,8.0,5.0,64.0,0.028678400573232544,0.5792262361063482,242.91189813613892
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.5,0.0,2.0,3.0,4.0,0.021794353104692025,0.00940629308163811,116.07024369239807
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.5,6.0,3.0,7.0,13.0,0.028479886862167375,0.007719871188363025,141.50559616088867
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.5,7.0,7.0,4.0,19.0,0.03627589775284892,0.00916732655757631,215.02230248451232
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.5,4.0,5.0,8.0,7.0,0.2510932445672011,0.11245300929513946,259.4101580619812
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.5,12.0,7.0,9.0,20.0,0.0799108845594612,0.08943789757993505,193.9519136428833
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.5,18.0,9.0,17.0,32.0,0.14673473431091846,0.28812366353056224,221.73137674331664
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.5,4.0,3.0,3.0,16.0,0.08465157459254094,0.12976691760391632,3136.7642328262327
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.5,11.0,9.0,13.0,34.0,0.04859364888838865,0.5119466109053358,346.7303774356842
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.5,20.0,11.0,18.0,57.0,0.0004158883083359672,0.6646731111359301,1240.0832366466523
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,5,0.75,3.0,5.0,3.0,3.0,0.019487928699691577,0.005456147229107116,140.84816865921022
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,10,0.75,5.0,9.0,4.0,7.0,0.02072921137859759,0.007409203451764655,45.80528950691223
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,5,15,0.75,12.0,9.0,7.0,9.0,0.03418142902034295,0.008467822787618338,48.14558472633362
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,5,0.75,5.0,2.0,9.0,6.0,0.04431776046427118,0.04998804269490056,48.30974035263061
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,10,0.75,17.0,10.0,15.0,13.0,0.11444975573971135,0.3019972729128521,47.955669736862184
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,10,15,0.75,25.0,21.0,29.0,23.0,0.1916509730996257,0.22018116651915784,52.26871948242187
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,5,0.75,11.0,7.0,9.0,8.0,0.15721819597458841,0.16107496336845814,56.17276010513306
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,10,0.75,20.0,18.0,21.0,25.0,0.0035808087317804388,0.6123045376532475,516.3684983253479
202.050185146808,244.81277370184776,0.0091999999999999,0.0112,0.0101999999999999,15,15,0.75,38.0,40.0,43.0,33.0,0.0022756073922821814,0.6442551838067583,108.5879237651825
