ds,y,T1,probMeas0Prep1,probMeas1Prep0,readout_error
2024-03-14 01:36:15,146.85401854224085,223.91796424885445,0.02460157480314961,0.024825196850393697,0.024713385826771638
2024-03-14 03:36:36,146.85401854224085,223.91796424885445,0.02460157480314961,0.024825196850393697,0.024713385826771638
2024-03-14 05:37:02,146.85401854224085,223.91796424885445,0.02460157480314961,0.024825196850393697,0.024713385826771638
2024-03-14 07:37:23,146.85401854224085,223.91796424885445,0.02460157480314961,0.024825196850393697,0.024713385826771638
2024-03-14 09:37:46,146.85401854224085,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 11:38:08,146.85401854224085,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 13:38:28,146.85401854224085,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 15:38:49,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 17:39:11,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 19:39:32,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 21:39:56,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-14 23:40:20,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-15 01:40:40,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-15 03:41:03,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-15 05:41:26,145.95896992392167,224.43073335291936,0.029696062992125977,0.029467716535433064,0.02958188976377952
2024-03-15 07:41:50,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 09:42:11,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 11:42:32,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 13:42:54,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 15:43:17,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 17:43:40,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 19:44:03,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 21:44:26,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-15 23:44:48,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-16 01:45:11,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-16 03:45:32,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-16 05:45:55,150.11695264185977,227.52552249947084,0.023411023622047243,0.02512598425196849,0.024268503937007878
2024-03-16 07:46:15,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 09:46:37,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 11:46:58,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 13:47:21,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 15:47:44,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 17:48:05,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 19:48:29,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 21:48:51,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-16 23:49:14,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-17 01:49:37,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-17 03:49:58,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-17 05:50:19,142.40374515496944,222.2202057497988,0.02275275590551181,0.02506456692913385,0.023908661417322827
2024-03-17 07:50:40,144.92083506673276,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 09:51:01,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 11:51:23,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 13:51:45,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 15:52:07,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 17:52:28,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 19:52:49,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 21:53:10,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-17 23:53:32,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-18 01:53:55,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-18 03:54:16,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-18 05:54:36,145.65563943055108,227.3341621441677,0.02750236220472442,0.029203149606299217,0.028352755905511794
2024-03-18 07:54:57,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 09:55:17,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 11:55:37,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 13:55:59,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 15:56:21,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 17:56:43,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 19:57:04,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 21:57:24,144.83494495993847,224.21560788155833,0.025204724409448823,0.024948031496062978,0.02507637795275591
2024-03-18 23:57:46,147.1672267379639,226.3921321925788,0.0276236220472441,0.03014645669291339,0.028885039370078715
2024-03-19 01:58:07,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 03:58:31,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 05:58:55,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 07:59:18,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 09:59:39,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 12:00:03,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 14:00:27,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 16:00:56,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 18:01:18,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 20:01:39,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-19 22:02:04,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-20 00:02:27,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
2024-03-20 02:02:50,147.1672267379639,226.3921321925788,0.026704986876640423,0.029837270341207353,0.028271128608923866
