ds,y,T1,T2,probMeas1Prep0,readout_error
2024-02-27 19:38:28,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-27 19:39:59,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-27 21:40:20,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-27 23:40:40,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-28 01:41:00,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-28 03:41:21,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-28 05:41:40,0.023973228346456682,225.34260521453552,145.04435990153732,0.024713385826771656,0.024343307086614172
2024-02-28 07:42:00,0.023968503937007866,225.34260521453552,145.04435990153732,0.024751181102362206,0.024359842519685034
2024-02-28 09:42:19,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 11:42:43,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 13:43:03,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 15:43:25,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 17:43:47,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 19:44:09,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 21:44:31,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-28 23:44:51,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 01:45:11,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 03:45:34,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 05:45:56,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 07:46:18,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 09:46:41,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 11:47:04,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 13:47:27,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 15:47:54,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 17:48:17,0.02863622047244093,224.47997221811423,144.9306278713879,0.030159055118110237,0.0293976377952756
2024-02-29 19:48:40,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-02-29 21:49:02,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-02-29 23:49:26,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-03-01 01:49:46,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-03-01 03:50:10,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-03-01 05:50:35,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-03-01 07:50:56,0.028925459317585295,224.47997221811423,144.9306278713879,0.030571653543307084,0.029748556430446195
2024-03-01 09:51:20,0.027573228346456684,224.47997221811423,144.9306278713879,0.030051968503937005,0.028812598425196873
2024-03-01 11:51:40,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 13:52:00,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 15:52:25,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 17:52:48,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 19:53:13,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 21:53:33,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-01 23:53:53,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-02 01:54:15,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-02 03:54:39,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-02 05:55:03,0.023848818897637798,226.23556097135852,139.97380352305166,0.025231496062992118,0.02454015748031496
2024-03-02 07:55:28,0.028226771653543304,229.2981462578714,139.97380352305166,0.029870866141732264,0.029048818897637795
2024-03-02 09:55:52,0.028226771653543304,229.2981462578714,148.38836147583535,0.029870866141732264,0.029048818897637795
2024-03-02 11:56:17,0.028226771653543304,229.2981462578714,148.38836147583535,0.029870866141732264,0.029048818897637795
2024-03-02 13:56:42,0.028226771653543304,229.2981462578714,148.38836147583535,0.029870866141732264,0.029048818897637795
2024-03-02 15:57:05,0.028226771653543304,229.2981462578714,148.38836147583535,0.029870866141732264,0.029048818897637795
2024-03-02 17:57:29,0.028226771653543304,229.2981462578714,148.38836147583535,0.029870866141732264,0.029048818897637795
