ds,y,T1,T2,probMeas0Prep1,probMeas1Prep0
2024-02-27 19:38:28,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-27 19:39:59,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-27 21:40:20,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-27 23:40:40,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 01:41:00,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 03:41:21,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 05:41:40,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 07:42:00,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 09:42:19,0.04082335958005251,211.9985412857095,130.74562805197846,0.04138477690288713,0.04026194225721784
2024-02-28 11:42:43,0.03715748031496063,211.9985412857095,130.74562805197846,0.03792860892388452,0.036373753280839895
2024-02-28 13:43:03,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-28 15:43:25,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-28 17:43:47,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-28 19:44:09,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-28 21:44:31,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-28 23:44:51,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 01:45:11,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 03:45:34,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 05:45:56,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 07:46:18,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 09:46:41,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 11:47:04,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 13:47:27,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 15:47:54,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 17:48:17,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
2024-02-29 19:48:40,0.03728976377952758,216.94616140561456,121.70572273266939,0.03807716535433071,0.03650236220472441
